 to your browser,لمتصفحك
Defines workflow states and rules for a document.,يحدد حالات سير العمل وقواعد المستند.
Delayed,مؤجل
Delete,حذف
Delete,حذف
Delete Account,حذف الحساب
Delete All,حذف الكل
Delete Column,حذف العمود
Delete Data,حذف البيانات
Delete Kanban Board,حذف لوحة كانبان
Delete Section,حذف القسم
Delete Tab,حذف علامة التبويب
Delete and Generate New,حذف وإنشاء جديد
Delete column,حذف العمود
Delete comment?,حذف التعليق؟
Delete entire column with fields,حذف العمود بالكامل مع الحقول
Delete entire section with fields,حذف القسم بالكامل مع الحقول
Delete entire tab with fields,حذف علامة التبويب بالكامل مع الحقول
Delete section,حذف القسم
Delete tab,حذف علامة التبويب
Delete this record to allow sending to this email address,احذف هذا السجل للسماح بالإرسال إلى عنوان البريد الإلكتروني هذا
Delete {0} item permanently?,حذف {0} عنصر بشكل دائم؟
Delete {0} items permanently?,حذف {0} العناصر نهائيا؟
Deleted,حذف
Deleted DocType,DocType المحذوفة
Deleted Document,المستند المحذوف
Deleted Documents,المستندات المحذوفة
Deleted Name,الاسم المحذوف
Deleted all documents successfully,تم حذف جميع المستندات بنجاح
Deleting {0},حذف {0}
Deleting {0} records...,جارٍ حذف {0} سجلات...
Deleting {0}...,جارٍ حذف {0}...
Deletion Steps ,خطوات الحذف 
Deletion of this document is only permitted in developer mode.,حذف هذا المستند مسموح به فقط في وضع المطور.
Delimiter Options,خيارات المحدد
Delimiter detection failed. Try to enable custom delimiters and adjust the delimiter options as per your data.,فشل اكتشاف المحدد. حاول تمكين المحددات المخصصة وضبط خيارات المحدد حسب بياناتك.
Delimiter must be a single character,يجب أن يكون المحدد حرفًا واحدًا
Delivery Status,حالة التسليم
Deny,رفض
Department,قسم
Dependencies,التبعيات
Dependencies & Licenses,التبعيات والتراخيص
Depends On,يعتمد على
Descendants Of,أحفاد من
Descendants Of (inclusive),السلالات من (شامل)
Description,وصف
"Description for listing page, in plain text, only a couple of lines. (max 200 characters)",وصف لصفحة القائمة ، بنص عادي ، سطرين فقط. (بحد أقصى 200 حرف)
Description to inform the user about any action that is going to be performed,وصف لإعلام المستخدم بأي إجراء سيتم تنفيذه
Designation,تعيين
Desk Access,الوصول للمكتب
Desk Settings,إعدادات سطح المكتب
Desk Theme,مظهر سطح المكتب
Desk User,مستخدم سطح المكتب
Desktop Icon,أيقونة سطح المكتب
Desktop Icon already exists,رمز سطح المكتب موجود بالفعل
Details,تفاصيل
Detect CSV type,اكتشاف نوع CSV
Did not add,لم تضف
Did not remove,لم تقم بإزالة
Diff,فرق
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","مختلف ""الحالات"" في هذه الوثيقة يمكن أن تكون موجودة في. مثل ""فتح"" أو ""في انتظار الموافقة"" الخ."
Digits,أرقام
Directory Server,خادم الدليل
Disable Auto Refresh,تعطيل التحديث التلقائي
Disable Automatic Recency Filters,تعطيل مرشحات الحداثة التلقائية
Disable Change Log Notification,تعطيل إشعار سجل التغييرات
Disable Comment Count,تعطيل عدد التعليقات
Disable Comments,تعطيل التعليقات
Disable Contact Us Page,تعطيل صفحة اتصل بنا
Disable Count,تعطيل العد
Disable Document Sharing,تعطيل مشاركة المستندات
Disable Likes,تعطيل الإعجابات
Disable Report,تعطيل تقرير
Disable SMTP server authentication,تعطيل مصادقة خادم SMTP
Disable Sidebar Stats,تعطيل إحصائيات الشريط الجانبي
Disable Signup for your site,تعطيل الاشتراك في موقعك
Disable Standard Email Footer,تعطيل تذييل البريد الإلكتروني الافتراضي
Disable System Update Notification,تعطيل إشعار تحديث النظام
Disable Username/Password Login,تعطيل تسجيل الدخول باسم المستخدم/كلمة المرور
Disable signups,تعطيل التسجيلات
Disabled,معطل
Disabled Auto Reply,الرد التلقائي معطل
Discard,تجاهل
Discard,تجاهل
Discard,تجاهل
Discard {0},تجاهل {0}
Discard?,تجاهل؟
Discarded,تم تجاهله
Disclaimer: These indexes are suggested based on data and queries performed during this recording. These suggestions may or may not help.,إخلاء مسؤولية: هذه الفهارس مقترحة بناءً على البيانات والاستعلامات التي تم إجراؤها أثناء هذا التسجيل. قد تساعد هذه الاقتراحات أو لا تساعد.
Discussion Reply,رد المناقشة
Discussion Topic,موضوع المناقشة
Dismiss,رفض
Dismiss,رفض
Display,عرض
Display Depends On,العرض يعتمد على
Display Depends On (JS),العرض يعتمد على (JS)
Divider,فاصل
Do Not Create New User ,عدم إنشاء مستخدم جديد 
Do not create new user if user with email does not exist in the system,عدم إنشاء مستخدم جديد إذا لم يكن المستخدم صاحب البريد الإلكتروني موجودًا في النظام
Do not edit headers which are preset in the template,لا تقم بتحرير الرؤوس التي يتم ضبطها مسبقا في القالب
Do not have permission to access bucket {0}.,ليس لديك إذن للوصول إلى الحاوية {0}.
Do you still want to proceed?,هل ما زلت تريد المتابعة؟
Do you want to cancel all linked documents?,هل تريد إلغاء جميع الوثائق المرتبطة؟
Doc Event,حدث دوك
Doc Events,دوك الأحداث
Doc Status,حالة الوثيقة
DocField,حقل المستند
DocPerm,إذن المستند
DocShare,مشاركة المستند
"DocStatus of the following states have changed:<br><strong>{0}</strong><br>
				Do you want to update the docstatus of existing documents in those states?<br>
				This does not undo any effect bought in by the document's existing docstatus.
				","تغيرت حالة المستند للحالات التالية:<br><strong>{0}</strong><br>
				هل تريد تحديث حالة المستند للمستندات الموجودة في تلك الحالات؟<br>
				هذا لا يلغي أي تأثير ناتج عن حالة المستند الحالية للمستند.
				"
DocType,نوع المستند
DocType <b>{0}</b> provided for the field <b>{1}</b> must have atleast one Link field,يجب أن يحتوي DocType <b>{0}</b> المتوفر للحقل <b>{1}</b> على حقل ارتباط واحد على الأقل
DocType Action,عمل DocType
DocType Event,حدث DocType
DocType Layout,تخطيط نوع المستند
DocType Layout Field,حقل تخطيط نوع المستند
DocType Link,رابط نوع الوثيقة
DocType State,حالة نوع المستند
DocType View,طريقة عرض DocType
DocType can not be merged,لا يمكن دمج DOCTYPE
DocType can only be renamed by Administrator,DOCTYPE لا يمكن تسميتها من قبل المسؤول
DocType is a Table / Form in the application.,نوع المستند هو جدول / نموذج في التطبيق.
DocType must be Submittable for the selected Doc Event,يجب تقديم دوكتيب للحدث دوك المحدد
DocType must be a string,يجب أن يكون نوع المستند نصًا
DocType must have atleast one field,يجب أن يحتوي نوع المستند على حقل واحد على الأقل
DocType not supported by Log Settings.,نوع المستند غير مدعوم بواسطة إعدادات السجل.
DocType on which this Workflow is applicable.,DOCTYPE على سير العمل هذا الذي ينطبق.
DocType required,نوع المستند مطلوب
DocType {0} does not exist.,نوع المستند {0} غير موجود.
DocType {} not found,نوع المستند {} غير موجود
DocType's name should not start or end with whitespace,يجب ألا يبدأ اسم DocType أو ينتهي بمسافة
"DocTypes cannot be modified, please use {0} instead",لا يمكن تعديل أنواع المستندات، يرجى استخدام {0} بدلاً من ذلك
Doctype,DOCTYPE
Doctype name is limited to {0} characters ({1}),اسم نوع المستند محدود بـ {0} حرفًا ({1})
Doctype required,Doctype المطلوبة
Document,وثيقة
Document Actions,وثيقة الإجراءات
Document Follow,متابعة المستند
Document Follow Notification,وثيقة متابعة الإخطار
Document Link,رابط المستند
Document Linking,ربط المستند
Document Links,روابط الوثيقة
Document Links Row #{0}: Could not find field {1} in {2} DocType,صف روابط المستند رقم {0}: تعذر العثور على الحقل {1} في نوع المستند {2}
Document Links Row #{0}: Invalid doctype or fieldname.,صف روابط المستند رقم {0}: نوع مستند أو اسم حقل غير صالح.
Document Links Row #{0}: Parent DocType is mandatory for internal links,صف روابط المستند رقم {0}: نوع المستند الأصلي إلزامي للروابط الداخلية
Document Links Row #{0}: Table Fieldname is mandatory for internal links,صف روابط المستند رقم {0}: اسم حقل الجدول إلزامي للروابط الداخلية
Document Name,اسم المستند
Document Name must be a string,يجب أن يكون اسم المستند نصًا
Document Naming Rule,قاعدة تسمية الوثيقة
Document Naming Rule Condition,شرط قاعدة تسمية المستند
Document Naming Settings,إعدادات تسمية المستند
Document Queued,المستند في قائمة الانتظار
Document Restoration Summary,ملخص استعادة المستند
Document Restored,تمت استعادة المستند
Document Saved,تم حفظ المستند
Document Share,مشاركة المستند
Document Share Key,مفتاح مشاركة المستند
Document Share Key Expiry (in Days),انتهاء صلاحية مفتاح مشاركة المستند (بالأيام)
Document Share Report,وثيقة حصة تقرير
Document States,الولايات ثيقة
Document Status,حالة المستند
Document Tag,علامة المستند
Document Title,عنوان المستند
Document Type,نوع الوثيقة
Document Type and Function are required to create a number card,نوع المستند والوظيفة مطلوبان لإنشاء بطاقة رقمية
Document Type is not importable,نوع المستند غير قابل للاستيراد
Document Type is not submittable,نوع المستند غير قابل للتقديم
Document Type to Track,نوع المستند لتعقب
Document Type {0} has been repeated.,تم تكرار نوع المستند {0}.
Document Types,أنواع المستندات
Document Types (Select Permissions Only),أنواع المستندات (أذونات التحديد فقط)
Document Types and Permissions,أنواع المستندات والأذونات
Document Unlocked,تم إلغاء قفل المستند
Document follow is not enabled for this user.,متابعة المستند غير مفعلة لهذا المستخدم.
Document has been cancelled,تم إلغاء المستند
Document has been submitted,تم إرسال المستند
Document is in draft state,المستند في حالة مسودة
Document is only editable by users with role,المستند قابل للتحرير فقط من قبل المستخدمين ذوي الدور
Document not Relinked,لم يتم إعادة ربط المستند
Document renamed from {0} to {1},تمت إعادة تسمية المستند من {0} إلى {1}
Document renaming from {0} to {1} has been queued,تم وضع إعادة تسمية المستند من {0} إلى {1} في قائمة الانتظار
Document type is required to create a dashboard chart,نوع المستند مطلوب لإنشاء مخطط لوحة معلومات
Document {0} Already Restored,تمت استعادة المستند {0} بالفعل
Document {0} has been set to state {1} by {2},تم تعيين المستند {0} على الحالة {1} بواسطة {2}
Document {0} {1} does not exist,المستند {0} {1} غير موجود
Documentation Link,رابط التوثيق
Documentation URL,URL التوثيق
Documents,المستندات
Documents restored successfully,تمت استعادة المستندات بنجاح
Documents that failed to restore,المستندات التي فشلت في استعادتها
Documents that were already restored,المستندات التي تمت استعادتها بالفعل
Domain,شبكة النطاق
Domain Name,اسم النطاق
Domain Settings,إعدادات النطاق
Domains HTML,النطاقات هتمل
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field",لا علامات HTML شفر HTML مثل &lt;script&gt; أو مجرد شخصيات مثل &lt;أو&gt;، لأنها يمكن أن تستخدم عمدا في هذا المجال
Don't Import,لا تستورد
Don't Override Status,لا تجاوز الحالة
Don't Send Emails,لا ترسل رسائل البريد الإلكتروني
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field",
Don't have an account?,ليس لديك حساب؟
Done,تم
Donut,الدونات
Double click to edit label,انقر نقرًا مزدوجًا لتحرير التسمية
Download,تحميل
Download,تحميل
Download Backups,تحميل النسخ الاحتياطية
Download Data,تحميل البيانات
Download Files Backup,تحميل النسخة الاحتياطية للملفات
Download Link,رابط التحميل
Download PDF,تحميل PDF
Download Report,تحميل التقرير
Download Template,تحميل القالب
Download Your Data,قم بتنزيل بياناتك
Download vCard,تنزيل vCard
Download vCards,تنزيل vCards
Dr,د.
Draft,مسودة
Drag,سحب
Drag & Drop a section here from another tab,اسحب وأفلت قسمًا هنا من علامة تبويب أخرى
Drag and drop files here or upload from,اسحب وأفلت الملفات هنا أو قم بالتحميل من
Drag columns to set order. Column width is set in percentage. The total width should not be more than 100. Columns marked in red will be removed.,اسحب الأعمدة لتعيين الترتيب. يتم تعيين عرض العمود بالنسبة المئوية. يجب ألا يزيد العرض الإجمالي عن 100. سيتم إزالة الأعمدة المميزة باللون الأحمر.
Drag elements from the sidebar to add. Drag them back to trash.,اسحب العناصر من الشريط الجانبي للإضافة. اسحبها مرة أخرى إلى سلة المهملات.
Drag to add state,اسحب لإضافة حالة
Drop files here,أفلت الملفات هنا
Dropbox Access Token,دروببوإكس رمز الوصول
Dropbox Refresh Token,رمز تحديث Dropbox
Dropbox Settings,إعدادات دروب بوكس
Dropbox Setup,إعداد دروببوإكس
Dropdowns,القوائم المنسدلة
Due Date,تاريخ الاستحقاق
Due Date Based On,تاريخ الاستحقاق بناء على
Duplicate,مكررة
Duplicate Entry,إدخال مكرر
Duplicate Filter Name,تكرار اسم الفلتر
Duplicate Name,اسم مكرر
Duplicate current row,تكرار الصف الحالي
Duplicate field,تكرار الحقل
Duration,المدة الزمنية
Dynamic,ديناميكي
Dynamic Filters,مرشحات ديناميكية
Dynamic Filters JSON,المرشحات الديناميكية JSON
Dynamic Filters Section,قسم المرشحات الديناميكية
Dynamic Link,الارتباط الحيوي
Dynamic Report Filters,مرشحات تقرير ديناميكي
Dynamic Route,الطريق الديناميكي
Dynamic Template,قالب ديناميكي
ESC,ESC
Edit,تعديل
Edit,تعديل
Edit,تعديل
Edit,تعديل
Edit Address in Form,تحرير العنوان في النموذج
Edit Auto Email Report Settings,تحرير إعدادات تقرير البريد الإلكتروني الآلي
Edit Chart,تحرير المخطط
Edit Custom Block,تحرير الكتلة المخصصة
Edit Custom HTML,تحرير مخصص HTML
Edit DocType,تعديل القائمة
Edit DocType,تعديل القائمة
Edit Existing,تحرير الموجود
Edit Filters,تحرير المرشحات
Edit Footer,تحرير التذييل
Edit Format,تحرير تنسيق
Edit Full Form,تحرير النموذج الكامل
Edit HTML,تحرير HTML
Edit Header,تحرير الترويسة
Edit Heading,تحرير العنوان
Edit Letter Head,تحرير الترويسة
Edit Letter Head Footer,تحرير تذييل الترويسة
Edit Links,تحرير الروابط
Edit Number Card,تحرير بطاقة الأرقام
Edit Onboarding,تحرير الإعداد الأولي
Edit Print Format,تحرير تنسيق الطباعة
Edit Profile,تعديل الملف الشخصي
Edit Properties,تحرير خصائص
Edit Quick List,تحرير القائمة السريعة
Edit Shortcut,تحرير الاختصار
Edit Values,تحرير القيم
Edit mode,وضع التحرير
Edit the {0} Doctype,تحرير نوع المستند {0}
Edit to add content,تعديل لإضافة محتوى
Edit your response,تحرير ردك
Edit your workflow visually using the Workflow Builder.,حرر سير عملك بصريًا باستخدام منشئ سير العمل.
Edit {0},تحرير {0}
Editable Grid,قابلة للتعديل Grid
Editing Row,تحرير الصف
Editing {0},تحرير {0}
Eg. smsgateway.com/api/send_sms.cgi,على سبيل المثال، smsgateway.com / API / send_sms.cgi
Either key or IP flag is required.,مطلوب إما المفتاح أو علامة IP.
Element Selector,محدد العنصر
Email,البريد الإلكتروني
Email Account,حساب البريد الإلكتروني
Email Account Disabled.,حساب البريد الإلكتروني معطل.
Email Account Name,اسم حساب البريد الإلكتروني
Email Account added multiple times,تمت إضافة حساب البريد الإلكتروني عدة مرات
Email Account not setup. Please create a new Email Account from Settings > Email Account,لم يتم إعداد حساب البريد الإلكتروني. يرجى إنشاء حساب بريد إلكتروني جديد من الإعدادات > حساب البريد الإلكتروني
Email Address,البريد الالكتروني
Email Address whose Google Contacts are to be synced.,عنوان البريد الإلكتروني الذي سيتم مزامنة جهات اتصال Google الخاصة به.
Email Addresses,عناوين البريد الإلكتروني
Email Domain,نطاق البريد الإلكتروني
Email Flag Queue,قائمة انتظار علامات البريد الإلكتروني
Email Footer Address,تذييل البريد الإلكتروني
Email Group,مجموعة البريد الإلكتروني
Email Group Member,عضو مجموعة البريد الإلكتروني
Email Header,ترويسة البريد الإلكتروني
Email ID,عنوان الايميل
Email IDs,معرّفات البريد الإلكتروني
Email Id,البريد الإلكتروني
Email Inbox,البريد الوارد
Email Queue,قائمة إنتظار البريد الإلكتروني
Email Queue Recipient,مستلم قائمة انتظار البريد الإلكتروني
Email Queue flushing aborted due to too many failures.,تم إحباط مسح قائمة انتظار البريد الإلكتروني بسبب كثرة الإخفاقات.
Email Queue records.,سجلات قائمة انتظار البريد الإلكتروني.
Email Reply Help,مساعدة الرد على البريد الإلكتروني
Email Retry Limit,حد إعادة محاولة البريد الإلكتروني
Email Rule,قاعدة البريد الإلكتروني
Email Sent,تم الإرسال
Email Sent At,تم إرسال البريد الإلكتروني في
Email Settings,إعدادات البريد الإلكتروني
Email Signature,توقيع البريد الالكترونى
Email Status,حالة البريد الإلكتروني
Email Sync Option,خيار مزامنة البريد الإلكتروني
Email Template,قالب البريد الإلكتروني
Email Threads on Assigned Document,سلاسل البريد الإلكتروني على المستند المعين
Email To,البريد الإلكتروني الى
Email Unsubscribe,إلغاء الاشتراك من البريد الإلكتروني
Email has been marked as spam,تم وضع علامة على البريد الإلكتروني كغير مرغوب فيه
Email has been moved to trash,تم نقل البريد الإلكتروني إلى المهملات
Email is mandatory to create User Email,البريد الإلكتروني إلزامي لإنشاء بريد إلكتروني للمستخدم
Email not sent to {0} (unsubscribed / disabled),البريد الإلكتروني لا يرسل إلى {0} (غير مشترك / غيرمفعل)
Email not verified with {0},البريد الإلكتروني غير متحقق من {0}
Email queue is currently suspended. Resume to automatically send other emails.,قائمة انتظار البريد الإلكتروني معلقة حاليًا. استأنف لإرسال رسائل بريد إلكتروني أخرى تلقائيًا.
Emails,رسائل البريد الإلكتروني
Emails Pulled,تم سحب رسائل البريد الإلكتروني
Emails are already being pulled from this account.,يتم سحب رسائل البريد الإلكتروني بالفعل من هذا الحساب.
Emails are muted,رسائل البريد الإلكتروني مكتومة
Emails will be sent with next possible workflow actions,سيتم إرسال رسائل البريد الإلكتروني مع إجراءات سير العمل التالية المحتملة
Embed code copied,تم نسخ كود التضمين
Empty column,عمود فارغ
Enable,تمكين
Enable Address Autocompletion,تمكين الإكمال التلقائي للعنوان
Enable Allow Auto Repeat for the doctype {0} in Customize Form,تمكين السماح للتكرار التلقائي للنمط {0} في تخصيص النموذج
Enable Auto Reply,تمكين الرد التلقائي
Enable Automatic Backup,تمكين النسخ الاحتياطي التلقائي
Enable Automatic Linking in Documents,تمكين الربط التلقائي في المستندات
Enable Comments,تمكين تعليقات
Enable Email Notification,تمكين إشعار البريد الإلكتروني
Enable Email Notifications,تمكين إشعارات البريد الإلكتروني
Enable Google API in Google Settings.,تمكين Google API في إعدادات Google.
Enable Google indexing,تمكين فهرسة جوجل
Enable Incoming,تمكين الوارد
Enable Onboarding,تمكين Onboarding
Enable Outgoing,تمكين البريد الصادر
Enable Password Policy,تمكين سياسة كلمة المرور
Enable Prepared Report,تمكين التقرير المعد
Enable Print Server,تمكين خادم الطباعة
Enable Push Notification Relay,تمكين ترحيل إشعارات الدفع
Enable Rate Limit,تمكين حد المعدل
Enable Raw Printing,تمكين الطباعة الخام
Enable Report,تمكين تقرير
Enable Scheduled Jobs,تمكين المهام المجدولة
Enable Scheduler,تمكين المجدول
Enable Security,تمكين الأمن
Enable Social Login,تمكين تسجيل الدخول الاجتماعي
Enable Social Sharing,تمكين المشاركة الاجتماعية
Enable Tracking Page Views,تمكين تتبع مشاهدات الصفحة
Enable Two Factor Auth,تمكين اثنين من عامل المصادقة
Enable developer mode to create a standard Print Template,قم بتمكين وضع المطور لإنشاء قالب طباعة قياسي
Enable developer mode to create a standard Web Template,قم بتمكين وضع المطور لإنشاء قالب ويب قياسي
Enable email notification for any comment or likes received on your Blog Post.,تمكين إشعار البريد الإلكتروني لأي تعليق أو إعجاب يتم تلقيه على منشور مدونتك.
"Enable if on click
opens modal.","تمكين إذا كان عند النقر
يفتح نافذة منبثقة."
Enable in-app website tracking,تمكين تتبع الموقع داخل التطبيق
Enabled,مُفعّل
Enabled Scheduler,تم تمكين المجدول
Enabled email inbox for user {0},صندوق الوارد للبريد الإلكتروني المُمكّن للمستخدم {0}
Enables Calendar and Gantt views.,يمكّن عروض التقويم وجانت.
Enabling auto reply on an incoming email account will send automated replies to all the synchronized emails. Do you wish to continue?,سيؤدي تمكين الرد التلقائي على حساب بريد إلكتروني وارد إلى إرسال ردود آلية إلى جميع رسائل البريد الإلكتروني المتزامنة. هل ترغب في المتابعة؟
"Enabling this will register your site on a central relay server to send push notifications for all installed apps through Firebase Cloud Messaging. This server only stores user tokens and error logs, and no messages are saved.",سيؤدي تمكين هذا إلى تسجيل موقعك على خادم ترحيل مركزي لإرسال إشعارات الدفع لجميع التطبيقات المثبتة من خلال Firebase Cloud Messaging. يخزن هذا الخادم رموز المستخدم وسجلات الأخطاء فقط، ولا يتم حفظ أي رسائل.
"Enabling this will register your site on a central relay server to send push notifications for all installed apps through Firebase Cloud Messaging. This server only stores user tokens and error logs, and no messages are saved. ",سيؤدي تمكين هذا إلى تسجيل موقعك على خادم ترحيل مركزي لإرسال إشعارات الدفع لجميع التطبيقات المثبتة من خلال Firebase Cloud Messaging. يخزن هذا الخادم رموز المستخدم وسجلات الأخطاء فقط، ولا يتم حفظ أي رسائل. 
Enabling this will submit documents in background,سيؤدي تمكين هذا إلى إرسال المستندات في الخلفية
Encrypt Backups,تشفير النسخ الاحتياطية
Encryption key is in invalid format!,مفتاح التشفير بتنسيق غير صالح!
Encryption key is invalid! Please check site_config.json,مفتاح التشفير غير صالح! يرجى التحقق من site_config.json
End,النهاية
End Date,نهاية التاريخ
End Date Field,حقل تاريخ الانتهاء
End Date cannot be before Start Date!,لا يمكن أن يكون تاريخ الانتهاء قبل تاريخ البدء!
Ended At,انتهى في
Endpoint URL,عنوان نقطة النهاية
Endpoints,نقاط النهاية
Ends on,ينتهي في
Energy Point,نقطة الطاقة
Enqueued By,تم وضعه في قائمة الانتظار بواسطة
Enqueued creation of indexes,تم وضع إنشاء الفهارس في قائمة الانتظار
Ensure the user and group search paths are correct.,تأكد من صحة مسارات بحث المستخدم والمجموعة.
Enter Client Id and Client Secret in Google Settings.,أدخل معرف العميل وسر العميل في إعدادات Google.
Enter Code displayed in OTP App.,أدخل الرمز المعروض في تطبيق OTP.
Enter Email Recipient(s),أدخل البريد الإلكتروني المستلم
Enter Form Type,أدخل نوع النموذج
Enter Value,أدخل القيمة
Enter a name for this {0},أدخل اسمًا لـ {0} هذا
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".",إدخال الحقول القيمة الافتراضية (مفاتيح) والقيم. إذا قمت بإضافة قيم متعددة للحقل، وسيتم اختيار أول واحد. وتستخدم هذه الافتراضات أيضا إلى وضع قواعد إذن &quot;مباراة&quot;. لمشاهدة قائمة من المجالات، انتقل إلى &quot;نموذج تخصيص&quot;.
Enter folder name,أدخل اسم المجلد
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)",أدخل المعلمات URL ثابت هنا (مثلا المرسل = ERPNext، اسم المستخدم = ERPNext، كلمة المرور = 1234 الخ)
Enter url parameter for message,ادخل معمل العنوان للرسالة
Enter url parameter for receiver nos,ادخل معامل العنوان لمشغل شبكة المستقبل
Enter your password,ادخل رقمك السري
Entity Name,اسم الكيان
Entity Type,نوع الكيان
Equals,تساوي
Error,خطأ
Error,خطأ
Error Log,سجل الأخطاء
Error Logs,سجلات الأخطاء
Error Message,رسالة خطأ
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a target=""_blank"" href=""https://qz.io/download/"">Click here to Download and install QZ Tray</a>.<br> <a target=""_blank"" href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"">Click here to learn more about Raw Printing</a>.","خطأ في الاتصال بـ QZ Tray Application ... <br><br> تحتاج إلى تثبيت تطبيق QZ Tray وتشغيله لاستخدام ميزة Raw Print. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">انقر هنا لتنزيل وتثبيت QZ Tray</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">انقر هنا لمعرفة المزيد عن الطباعة الخام</a> ."
Error connecting via IMAP/POP3: {e},خطأ في الاتصال عبر IMAP/POP3: {e}
Error connecting via SMTP: {e},خطأ في الاتصال عبر SMTP: {e}
Error has occurred in {0},حدث خطأ في {0}
Error in Client Script,خطأ في سكريبت العميل
Error in Client Script.,خطأ في سكريبت العميل.
Error in Header/Footer Script,خطأ في سكريبت الترويسة/التذييل
Error in Notification,خطأ في الإخطار
Error in print format on line {0}: {1},خطأ في تنسيق الطباعة في السطر {0}: {1}
Error while connecting to email account {0},حدث خطأ أثناء الاتصال بحساب البريد الإلكتروني {0}
Error while evaluating Notification {0}. Please fix your template.,خطأ أثناء تقييم الإشعار {0}. يرجى تصحيح القالب الخاص بك.
Error: Data missing in table {0},خطأ: بيانات مفقودة في الجدول {0}
Error: Value missing for {0}: {1},خطأ: قيمة مفقودة ل {0}: {1}
Error: {0} Row #{1}: Value missing for: {2},خطأ: {0} الصف رقم {1}: قيمة مفقودة لـ: {2}
Errors,الأخطاء
Event,حدث
Event Category,فئة الحدث
Event Frequency,تردد الحدث
Event Participants,المشاركون في الحدث
Event Reminders,رسائل التذكير بالأحداث
Event Synced with Google Calendar.,حدث مزامنة مع تقويم Google.
Event Type,نوع الحدث
Events,الأحداث
Events in Today's Calendar,الأحداث في التقويم اليوم
Everyone,كل شخص
"Ex: ""colors"": [""#d1d8dd"", ""#ff5858""]",مثال: &quot;الألوان&quot;: [&quot;# d1d8dd&quot;، &quot;# ff5858&quot;]
Exact Copies,نسخ طبق الأصل
Example,مثال
"Example: ""/desk""",مثال: &quot;/ desk&quot;
Example: #Tree/Account,مثال: # شجرة / حساب
Example: 00001,مثال: 00001
Example: Setting this to 24:00 will log out a user if they are not active for 24:00 hours.,مثال: تعيين هذا إلى 24:00 سيؤدي إلى تسجيل خروج المستخدم إذا لم يكن نشطًا لمدة 24:00 ساعة.
Example: {{ subject }},مثال: {{topic}}
Excel,إكسل
Excellent,ممتاز
Exception,استثناء
Execute,نفذ - اعدم
Execute Console script,تنفيذ البرنامج النصي لوحدة التحكم
Executing...,جارٍ التنفيذ...
Execution Time: {0} sec,وقت التنفيذ: {0} ثانية
Executive,Executive
Existing Role,الدور الحالي
Expand,وسعت
Expand,وسعت
Expand All,توسيع الكل
Experimental,تجريبي
Expert,خبير
Expiration time,وقت انتهاء الصلاحية
Expire Notification On,تنتهي الإعلام على
Expired,انتهى
Expires In,ينتهي في
Expires On,ينتهي في
Expiry time of QR Code Image Page,وقت انتهاء صلاحية رمز الاستجابة السريعة صورة الصفحة
Export,تصدير
Export,تصدير
Export 1 record,تصدير 1 سجل
Export Custom Permissions,تصدير ضوابط مخصص
Export Customizations,تصدير تخصيصات
Export Data,تصدير البيانات
Export Errored Rows,تصدير الصفوف الخطأ
Export From,تصدير من
Export Import Log,تصدير سجل الاستيراد
Export Report: {0},تصدير التقرير: {0}
Export Type,نوع التصدير
Export all matching rows?,تصدير جميع الصفوف المتطابقة؟
Export all {0} rows?,تصدير جميع الصفوف {0}؟
Export as zip,تصدير كملف مضغوط
Export not allowed. You need {0} role to export.,الصادرات غير مسموح به. تحتاج {0} صلاحية التصدير.
Export the data without any header notes and column descriptions,تصدير البيانات بدون أي ملاحظات ترويسة وأوصاف أعمدة
Export without main header,تصدير بدون ترويسة رئيسية
Export {0} records,تصدير {0} السجلات
Exported permissions will be force-synced on every migrate overriding any other customization.,سيتم مزامنة الأذونات المصدرة بالقوة عند كل عملية ترحيل، متجاوزة أي تخصيص آخر.
Expose Recipients,كشف المستلمين
Expression,تعبير
Expression (old style),تعبير (نمط قديم)
"Expression, Optional",التعبير والاختياري
External Link,رابط خارجي
Extra Parameters,معلمات إضافية
Facebook,الفيسبوك
Fail,فشل
Failed,فاشل
Failed Emails,رسائل البريد الإلكتروني الفاشلة
Failed Job Count,عدد المهام الفاشلة
Failed Jobs,المهام الفاشلة
Failed Logins (Last 30 days),عمليات تسجيل الدخول الفاشلة (آخر 30 يومًا)
Failed Transactions,المعاملات الفاشلة
Failed to aquire lock: {}. Lock may be held by another process.,فشل في الحصول على القفل: {}. قد يكون القفل محجوزًا بواسطة عملية أخرى.
Failed to change password.,فشل تغيير كلمة المرور.
